Projects, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, Formula Description, UDA, Smart List, Data Type, Hierarchy Type, Enable for Dynamic Children, Number of Possible Dynamic Children, Access Granted to Member Creator, Allow Upper Level Entity Input, Process Management Enabled, UUID, Plan Type (Project), Aggregation (Project), Data Storage (Project), Formula (Project), Formula Description (Project), Plan Type (Plus), Aggregation (Plus), Data Storage (Plus), Formula (Plus), Solve Order (Plus), Formula Description (Plus), A_Customer, A_ProjectType, A_StartYear, A_StartMonth, A_IsClosed, A_Entity, A_BU, Operation
WIKBCOT1807142600,AllProject,金佰利2018年7-9月珠海共享PG管理,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,ff4e163d-79f0-4577-936d-0b5a3ac10e44,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSMWHSP1806142700,AllProject,Y18玛氏淡季P7Football NKA路演活动-东区,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,e894a868-062f-4624-a6ff-726a1b29b233,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSMWHSP1806138100,AllProject,Y18玛氏淡季P7FootballNKA路演活动-南区,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,1cfffd5c-49ce-492a-923c-3192d5f1d888,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSMWHSP1808149500,AllProject,Y18玛氏淡季P8中国情人节CVD七夕促销活动-南区,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,29e8152a-3d20-45a2-b37e-bbe0fa6de771,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSMWHSP1807149600,AllProject,Y18玛氏淡季P8华润德芙小清新新品五星上市-南区,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,34da7c89-c531-4768-812e-6dbd39b39c29,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSMWHSP1807149700,AllProject,Y18玛氏淡季P8WM88购物节活动-南区,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,5769578f-d6bd-45c9-8e21-9ba739eb09a9,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSPGHSP1807148800,AllProject,SMKT JAS CRVTesco 世界杯 Suguo ISP,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,c98d1626-bc38-47a0-a640-5077862b056a,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSPGHSP1807146000,AllProject,SMKT JAS YONGHUI 永辉内购会ISP,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,d2a22abd-0dd3-4da0-8030-7bfcef4ff9b1,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSPGHSP1807145900,AllProject,SMKT JAS Metro 苏州麦德龙吴中店ISP,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,06e67bcf-a9c7-451b-8932-4e3f40fa76c8,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSPGHSP1807145800,AllProject,SMKT JAS Metro 上海市麦德龙真北店ISP,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,c3321d23-4dc9-4ae6-ab96-ba417aefa094,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSPGHSP1807145700,AllProject,SMKT JAS East Region RR World Cup Campaign ISP,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,a840f93a-24d1-4341-b23b-5d3159839132,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
